#Algorithm,IBk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NBC,,,,,,,,,SMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Parameter,1,,,,,,,,,3,,,,,,,,,5,,,,,,,,,10,,,,,,,,,2,,,,,,,,,5,,,,,,,,,10,,,,,,,,,30,,,,,,,,,,,,,,,,,,1-P,,,,,,,,,5-P,,,,,,,,,1-RBF,,,,,,,,,5-RBF,,,,,,,,,
#Gen Est Method,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,
Run 1,0.0,0.5757121439280359,0.0,0.502,0.0,0.0,0.0,0.5204359673024523,0.3289155313351499,0.3183183183183183,0.5412293853073463,0.2880000000000001,0.513,0.0,0.0,0.202,0.5122615803814714,0.4001053188010899,0.34534534534534533,0.5232383808095952,0.3357777777777778,0.5029999999999999,0.0,0.0,0.284,0.547683923705722,0.45348823978201636,0.4114114114114114,0.5157421289355323,0.3883333333333333,0.493,0.0,0.0,0.399,0.48501362397820164,0.4573506103542235,0.0960960960960961,0.5652173913043478,0.1562222222222222,0.48900000000000005,0.0,0.0,0.058,0.5803814713896458,0.38872508991825616,0.2852852852852853,0.5292353823088456,0.27088888888888885,0.526,0.0,0.0,0.161,0.5667574931880109,0.4190487356948229,0.33933933933933935,0.5247376311844077,0.35011111111111115,0.5080000000000001,0.0,0.0,0.256,0.5667574931880109,0.4549587356948229,0.4744744744744745,0.5172413793103449,0.43133333333333324,0.508,0.0,0.0,0.387,0.5013623978201635,0.46314703542234326,0.5285285285285285,0.5967016491754122,0.5823333333333333,0.602,0.0,0.0,0.524,0.6185286103542235,0.5889820817438692,0.4294294294294294,0.49775112443778113,0.46788888888888885,0.48200000000000004,0.0,0.0,0.459,0.4904632152588556,0.4834747520435968,0.4594594594594595,0.4962518740629685,0.4678888888888889,0.47400000000000003,0.0,0.0,0.462,0.49318801089918257,0.4863308228882834,0.5825825825825826,0.5547226386806596,0.564,0.5640000000000001,0.0,0.0,0.555,0.5722070844686649,0.5714248773841962,0.5405405405405406,0.5757121439280359,0.5101111111111111,0.524,0.0,0.0,0.501,0.5367847411444142,0.5286259564032698,
Run 2,0.0,0.5352323838080959,0.0,0.51,0.0,0.0,0.0,0.5122615803814714,0.3237493188010899,0.2882882882882883,0.5472263868065967,0.291,0.509,0.0,0.0,0.233,0.5258855585831063,0.42043367302452317,0.32732732732732733,0.5397301349325337,0.3376666666666666,0.487,0.0,0.0,0.282,0.5122615803814714,0.43034531880108995,0.42042042042042044,0.5082458770614693,0.3871111111111111,0.48200000000000004,0.0,0.0,0.367,0.49591280653950953,0.45214289373297,0.1891891891891892,0.5922038980509745,0.15433333333333335,0.5399999999999999,0.0,0.0,0.052,0.553133514986376,0.36923638147138965,0.25225225225225223,0.5082458770614693,0.26788888888888895,0.523,0.0,0.0,0.15,0.5722070844686649,0.41833487738419617,0.3483483483483483,0.5382308845577212,0.3412222222222222,0.5050000000000001,0.0,0.0,0.251,0.555858310626703,0.44618045231607634,0.4444444444444444,0.4947526236881559,0.4323333333333334,0.502,0.0,0.0,0.394,0.49591280653950953,0.46234889373297006,0.6366366366366366,0.664167916041979,0.5795555555555556,0.619,0.0,0.0,0.581,0.6158038147138964,0.6088060108991825,0.48348348348348347,0.49025487256371814,0.4686666666666667,0.477,0.0,0.0,0.448,0.5068119891008175,0.4896491771117166,0.4264264264264264,0.5097451274362819,0.4656666666666666,0.481,0.0,0.0,0.478,0.4550408719346049,0.4682698310626703,0.5675675675675675,0.5622188905547226,0.5640000000000001,0.5640000000000001,0.0,0.0,0.549,0.5722070844686649,0.5691568773841962,0.5555555555555556,0.568215892053973,0.5114444444444444,0.513,0.0,0.0,0.499,0.5286103542234333,0.5227037438692099,
Run 3,0.0,0.5502248875562219,0.0,0.52,0.0,0.0,0.0,0.5449591280653951,0.34441416893732973,0.2702702702702703,0.5397301349325337,0.2887777777777778,0.524,0.0,0.0,0.209,0.5258855585831063,0.4113616730245232,0.32732732732732733,0.512743628185907,0.33711111111111114,0.48200000000000004,0.0,0.0,0.268,0.5422343324250681,0.44399609809264307,0.3633633633633634,0.5412293853073463,0.3937777777777778,0.489,0.0,0.0,0.336,0.5068119891008175,0.44731317711171664,0.18618618618618618,0.5727136431784108,0.16455555555555554,0.5269999999999999,0.0,0.0,0.055,0.5667574931880109,0.3789807356948229,0.26126126126126126,0.5712143928035982,0.26688888888888884,0.523,0.0,0.0,0.147,0.555858310626703,0.4068684523160763,0.3633633633633634,0.5067466266866567,0.34355555555555556,0.508,0.0,0.0,0.257,0.5449591280653951,0.44156016893732974,0.47147147147147145,0.5217391304347826,0.4275555555555556,0.501,0.0,0.0,0.382,0.5177111716621253,0.47158946049046324,0.5195195195195195,0.6011994002998501,0.579111111111111,0.603,0.0,0.0,0.577,0.6212534059945504,0.6107381525885558,0.4954954954954955,0.46026986506746626,0.4684444444444444,0.47999999999999987,0.0,0.0,0.447,0.4550408719346049,0.45655183106267033,0.46546546546546547,0.4917541229385307,0.46644444444444433,0.47400000000000003,0.0,0.0,0.443,0.4986376021798365,0.48259296457765666,0.5495495495495496,0.5712143928035982,0.564,0.5640000000000001,0.0,0.0,0.545,0.6130790190735694,0.5934759400544959,0.5525525525525525,0.5697151424287856,0.5124444444444444,0.516,0.0,0.0,0.5,0.47956403269754766,0.4920844686648501,
Run 4,0.0,0.5442278860569715,0.0,0.51,0.0,0.0,0.0,0.5340599455040872,0.3375258855585831,0.3123123123123123,0.5487256371814093,0.28744444444444445,0.504,0.0,0.0,0.221,0.5613079019073569,0.43828459400544956,0.38738738738738737,0.5082458770614693,0.33977777777777785,0.4790000000000001,0.0,0.0,0.303,0.5149863760217984,0.4400053896457766,0.38738738738738737,0.5247376311844077,0.39022222222222214,0.48299999999999993,0.0,0.0,0.36,0.4904632152588556,0.44605275204359673,0.19519519519519518,0.568215892053973,0.16233333333333333,0.52,0.0,0.0,0.059,0.5749318801089919,0.38565894822888286,0.2672672672672673,0.5157421289355323,0.27199999999999996,0.5199999999999999,0.0,0.0,0.145,0.5122615803814714,0.37855931880108995,0.37537537537537535,0.545727136431784,0.3471111111111111,0.5319999999999999,0.0,0.0,0.246,0.5694822888283378,0.45290080653950954,0.47147147147147145,0.5052473763118441,0.43166666666666664,0.502,0.0,0.0,0.367,0.4877384196185286,0.4469766811989101,0.5555555555555556,0.5937031484257871,0.5794444444444444,0.604,0.0,0.0,0.548,0.6212534059945504,0.5997761525885559,0.4174174174174174,0.5037481259370314,0.4684444444444444,0.479,0.0,0.0,0.454,0.48501362397820164,0.4781406103542235,0.42342342342342343,0.5007496251874063,0.4670000000000001,0.4800000000000001,0.0,0.0,0.478,0.46866485013623976,0.47688018528610354,0.5975975975975976,0.7076461769115442,0.5640000000000001,0.5640000000000001,0.0,0.0,0.582,0.5258855585831063,0.5523556730245232,0.5075075075075075,0.5382308845577212,0.5127777777777778,0.5180000000000001,0.0,0.0,0.485,0.5068119891008175,0.5036351771117167,
Run 5,0.0,0.5742128935532234,0.0,0.5269999999999999,0.0,0.0,0.0,0.5204359673024523,0.3289155313351499,0.29429429429429427,0.5232383808095952,0.28700000000000003,0.531,0.0,0.0,0.209,0.5912806539509536,0.4526913732970027,0.33633633633633636,0.5247376311844077,0.3361111111111111,0.501,0.0,0.0,0.291,0.5395095367847411,0.45096802724795637,0.4294294294294294,0.5232383808095952,0.3885555555555556,0.473,0.0,0.0,0.331,0.5340599455040872,0.4626438855585831,0.18618618618618618,0.5667166416791605,0.17411111111111108,0.507,0.0,0.0,0.044,0.5149863760217984,0.3421033896457766,0.27627627627627627,0.545727136431784,0.2696666666666666,0.522,0.0,0.0,0.159,0.5994550408719346,0.43895758583106265,0.35435435435435436,0.512743628185907,0.3443333333333333,0.52,0.0,0.0,0.256,0.5504087193460491,0.44462631062670305,0.42042042042042044,0.52023988005997,0.43522222222222223,0.514,0.0,0.0,0.381,0.5122615803814714,0.4677673188010899,0.5315315315315315,0.6281859070464768,0.5774444444444444,0.601,0.0,0.0,0.583,0.6348773841961853,0.6216165068119891,0.4864864864864865,0.48875562218890556,0.4688888888888889,0.48299999999999993,0.0,0.0,0.48,0.47411444141689374,0.4810803269754768,0.44744744744744747,0.47976011994003,0.46644444444444444,0.48600000000000004,0.0,0.0,0.449,0.5040871934604905,0.48830510626702994,0.5765765765765766,0.5577211394302849,0.564,0.5640000000000001,0.0,0.0,0.564,0.5694822888283378,0.5731048065395095,0.5495495495495496,0.5397301349325337,0.5127777777777778,0.526,0.0,0.0,0.505,0.5367847411444142,0.5301379564032698,
Run 6,0.0,0.5727136431784108,0.0,0.5069999999999999,0.0,0.0,0.0,0.5177111716621253,0.3271934604904632,0.27627627627627627,0.5727136431784108,0.2874444444444445,0.522,0.0,0.0,0.234,0.5613079019073569,0.4431985940054496,0.3783783783783784,0.5292353823088456,0.3391111111111111,0.488,0.0,0.0,0.29,0.5286103542234333,0.44370174386920985,0.4174174174174174,0.5172413793103449,0.38966666666666666,0.484,0.0,0.0,0.376,0.5122615803814714,0.46587731880108996,0.19519519519519518,0.5517241379310345,0.16255555555555556,0.503,0.0,0.0,0.068,0.5204359673024523,0.3546195313351499,0.25225225225225223,0.5772113943028486,0.26633333333333337,0.537,0.0,0.0,0.146,0.5504087193460491,0.40304631062670304,0.3213213213213213,0.5502248875562219,0.34155555555555556,0.492,0.0,0.0,0.248,0.5912806539509536,0.4674333732970027,0.4444444444444444,0.5112443778110944,0.4326666666666667,0.49799999999999994,0.0,0.0,0.376,0.5095367847411444,0.4641552479564033,0.4894894894894895,0.5787106446776612,0.5795555555555556,0.603,0.0,0.0,0.571,0.6485013623978202,0.6256908610354224,0.44744744744744747,0.49325337331334335,0.469111111111111,0.47700000000000004,0.0,0.0,0.485,0.4904632152588556,0.49330275204359675,0.45345345345345345,0.4962518740629685,0.46688888888888885,0.4760000000000001,0.0,0.0,0.497,0.44141689373297005,0.46684147683923705,0.5585585585585585,0.5667166416791605,0.5640000000000001,0.5640000000000001,0.0,0.0,0.595,0.55858310626703,0.577934523160763,0.5045045045045045,0.5397301349325337,0.5123333333333332,0.5189999999999999,0.0,0.0,0.499,0.5749318801089919,0.5519789482288828,
Run 7,0.0,0.5562218890554723,0.0,0.514,0.0,0.0,0.0,0.547683923705722,0.34613623978201635,0.2732732732732733,0.5412293853073463,0.2886666666666667,0.518,0.0,0.0,0.202,0.5722070844686649,0.4379908773841962,0.33933933933933935,0.545727136431784,0.34077777777777774,0.48900000000000005,0.0,0.0,0.301,0.5258855585831063,0.4461376730245232,0.3843843843843844,0.5022488755622189,0.39111111111111113,0.47400000000000003,0.0,0.0,0.322,0.5231607629427792,0.4523536021798365,0.29429429429429427,0.5397301349325337,0.16677777777777777,0.525,0.0,0.0,0.039,0.547683923705722,0.36087823978201633,0.2552552552552553,0.5832083958020989,0.269,0.5250000000000001,0.0,0.0,0.135,0.6076294277929155,0.43505179836512264,0.36936936936936937,0.4917541229385307,0.349,0.49899999999999994,0.0,0.0,0.247,0.5667574931880109,0.4515567356948229,0.45645645645645644,0.5022488755622189,0.432888888888889,0.4959999999999999,0.0,0.0,0.39,0.5340599455040872,0.4849458855585831,0.5375375375375375,0.6131934032983508,0.5795555555555556,0.607,0.0,0.0,0.548,0.6103542234332425,0.5928878692098093,0.4444444444444444,0.49325337331334335,0.469,0.4800000000000001,0.0,0.0,0.484,0.44959128065395093,0.467093689373297,0.4444444444444444,0.4752623688155922,0.4687777777777778,0.47800000000000004,0.0,0.0,0.426,0.49318801089918257,0.4727228228882834,0.5825825825825826,0.5547226386806596,0.564,0.5640000000000001,0.0,0.0,0.576,0.55858310626703,0.570752523160763,0.5525525525525525,0.5697151424287856,0.5122222222222222,0.519,0.0,0.0,0.522,0.4659400544959128,0.49179011444141696,
Run 8,0.0,0.527736131934033,0.0,0.5170000000000001,0.0,0.0,0.0,0.5395095367847411,0.3409700272479564,0.2672672672672673,0.5862068965517241,0.2901111111111111,0.532,0.0,0.0,0.207,0.55858310626703,0.431270523160763,0.35735735735735735,0.5007496251874063,0.33833333333333326,0.504,0.0,0.0,0.265,0.5177111716621253,0.42736346049046325,0.3933933933933934,0.487256371814093,0.38955555555555554,0.491,0.0,0.0,0.366,0.5013623978201635,0.45520903542234326,0.16216216216216217,0.5742128935532234,0.14744444444444443,0.513,0.0,0.0,0.044,0.5340599455040872,0.3541578855585831,0.24024024024024024,0.5472263868065967,0.26944444444444443,0.5210000000000001,0.0,0.0,0.17,0.5994550408719346,0.4431155858310627,0.3123123123123123,0.5097451274362819,0.35188888888888886,0.5010000000000001,0.0,0.0,0.223,0.5422343324250681,0.4269860980926431,0.4594594594594595,0.512743628185907,0.42800000000000005,0.5010000000000001,0.0,0.0,0.398,0.5313351498637602,0.48624781471389644,0.5765765765765766,0.6431784107946027,0.5785555555555555,0.61,0.0,0.0,0.599,0.6430517711171662,0.632830719346049,0.4954954954954955,0.46776611694152925,0.4673333333333334,0.487,0.0,0.0,0.477,0.4822888283378747,0.4851125395095368,0.44144144144144143,0.49325337331334335,0.4659999999999999,0.4789999999999999,0.0,0.0,0.467,0.45231607629427795,0.46238976021798367,0.5615615615615616,0.5652173913043478,0.5640000000000001,0.5640000000000001,0.0,0.0,0.575,0.5749318801089919,0.5807069482288829,0.5705705705705706,0.56071964017991,0.5118888888888888,0.521,0.0,0.0,0.495,0.5204359673024523,0.5160255313351498,
Run 9,0.0,0.56071964017991,0.0,0.4959999999999999,0.0,0.0,0.0,0.5286103542234333,0.33408174386920986,0.3003003003003003,0.5562218890554723,0.28755555555555556,0.5290000000000001,0.0,0.0,0.219,0.5258855585831063,0.4151416730245232,0.34534534534534533,0.52023988005997,0.33777777777777773,0.5000000000000001,0.0,0.0,0.296,0.5040871934604905,0.43047110626702995,0.4084084084084084,0.5187406296851574,0.38855555555555554,0.471,0.0,0.0,0.377,0.4822888283378747,0.44731253950953676,0.1981981981981982,0.5427286356821589,0.1597777777777778,0.5359999999999999,0.0,0.0,0.062,0.5422343324250681,0.3661280980926431,0.27627627627627627,0.5352323838080959,0.2737777777777778,0.531,0.0,0.0,0.151,0.5367847411444142,0.3963259564032698,0.3153153153153153,0.5037481259370314,0.33744444444444444,0.5279999999999999,0.0,0.0,0.26,0.5504087193460491,0.44613831062670306,0.42342342342342343,0.5352323838080959,0.43533333333333335,0.508,0.0,0.0,0.387,0.5122615803814714,0.47003531880108995,0.5345345345345346,0.6131934032983508,0.5788888888888889,0.5960000000000001,0.0,0.0,0.586,0.6430517711171662,0.627916719346049,0.5075075075075075,0.4917541229385307,0.46900000000000003,0.484,0.0,0.0,0.487,0.47411444141689374,0.4837263269754768,0.46546546546546547,0.4707646176911544,0.46655555555555556,0.476,0.0,0.0,0.46,0.43869209809264303,0.45113340599455043,0.5735735735735735,0.5592203898050975,0.564,0.5640000000000001,0.0,0.0,0.565,0.5694822888283378,0.5734828065395094,0.5585585585585585,0.5367316341829086,0.5117777777777779,0.518,0.0,0.0,0.505,0.5204359673024523,0.51980553133515,
Run 10,0.0,0.5772113943028486,0.0,0.5069999999999999,0.0,0.0,0.0,0.49591280653950953,0.31341689373297005,0.3003003003003003,0.5667166416791605,0.28711111111111115,0.525,0.0,0.0,0.227,0.5449591280653951,0.4302201689373297,0.3483483483483483,0.5247376311844077,0.3383333333333334,0.4950000000000001,0.0,0.0,0.304,0.5149863760217984,0.4403833896457766,0.3963963963963964,0.5322338830584707,0.3891111111111111,0.477,0.0,0.0,0.332,0.5040871934604905,0.44407910626702995,0.16816816816816818,0.5412293853073463,0.1608888888888889,0.5039999999999999,0.0,0.0,0.058,0.5640326975476839,0.37839266485013623,0.25225225225225223,0.5157421289355323,0.267,0.528,0.0,0.0,0.14,0.5422343324250681,0.3956120980926431,0.38738738738738737,0.5172413793103449,0.3453333333333333,0.512,0.0,0.0,0.271,0.5313351498637602,0.43824181471389645,0.4084084084084084,0.553223388305847,0.43566666666666665,0.506,0.0,0.0,0.369,0.5803814713896458,0.5062830899182562,0.5375375375375375,0.6041979010494752,0.579111111111111,0.6170000000000002,0.0,0.0,0.554,0.6021798365122616,0.5899896566757493,0.4744744744744745,0.5022488755622189,0.4687777777777777,0.479,0.0,0.0,0.48,0.46866485013623976,0.4776361852861035,0.44744744744744747,0.46926536731634183,0.4662222222222222,0.48199999999999993,0.0,0.0,0.499,0.444141689373297,0.4693195476839237,0.5795795795795796,0.5562218890554723,0.5640000000000001,0.5640000000000001,0.0,0.0,0.555,0.5831062670299727,0.5783131607629428,0.5555555555555556,0.5232383808095952,0.5126666666666666,0.5110000000000001,0.0,0.0,0.482,0.5340599455040872,0.5197218855585831,
