@relation wineQuality

@attribute fixedAcidity numeric
@attribute volatileAcidity numeric
@attribute citricAcid numeric
@attribute residualSugar numeric
@attribute chlorides numeric
@attribute freeSulfurDioxide numeric
@attribute totalSulfurDioxide numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute class {1,2,3,4,5,6,7,8,9}

@data
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5
8.4,0.17,0.31,5.4,0.052,47,150,0.9953,3.24,0.38,9.8,5
7.5,0.24,0.31,13,0.049,46,217,0.9985,3.08,0.53,8.8,5
6.1,0.17,0.21,1.9,0.09,44,130,0.99255,3.07,0.41,9.7,5
5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5
8.3,0.23,0.43,3.2,0.035,14,101,0.9928,3.15,0.36,11.5,5
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5
7.3,0.29,0.37,8.3,0.044,45,227,0.9966,3.12,0.47,9,5
6.5,0.27,0.4,10,0.039,74,227,0.99582,3.18,0.5,9.4,5
6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5
7.7,0.6,0,2.6,0.055,7,13,0.99639,3.38,0.56,10.8,5
6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,5
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5
6,0.32,0.46,1.5,0.05,56,189,0.99308,3.24,0.49,9.6,5
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5
7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,5
7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5
7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7,5
6.7,0.34,0.3,15.6,0.054,51,196,0.9982,3.19,0.49,9.3,5
8,0.55,0.42,12.6,0.211,37,213,0.9988,2.99,0.56,9.3,5
6.5,0.19,0.1,1.3,0.046,23,107,0.9937,3.29,0.45,10,5
7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,5
7.2,0.14,0.35,1.2,0.036,15,73,0.9938,3.46,0.39,9.9,5
6.9,0.57,0,2.8,0.081,21,41,0.99518,3.41,0.52,10.8,5
8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,5
7.9,0.35,0.36,1.6,0.038,11,124,0.9928,3.25,0.48,11,5
7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1,5
5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,5
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5
6.8,0.26,0.24,1.9,0.043,70,154,0.99273,3.18,0.52,10.5,5
7.3,0.32,0.29,1.5,0.038,32,144,0.99296,3.2,0.55,10.8,5
7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,5
7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5
8.8,0.34,0.33,9.7,0.036,46,172,0.9966,3.08,0.4,10.2,5
9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5
6.3,0.32,0.32,1.5,0.03,24,101,0.98923,3.21,0.42,13,5
8.2,0.31,0.43,7,0.047,18,87,0.99628,3.23,0.64,10.6,5
9,0.54,0.49,2.9,0.094,41,110,0.9982,3.08,0.61,9.2,5
7.4,0.24,0.31,8.4,0.045,52,183,0.9963,3.09,0.32,8.8,5
6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,5
6.7,0.25,0.31,1.35,0.061,30.5,218,0.99388,3.16,0.53,9.5,5
6.6,0.42,0.13,12.8,0.044,26,158,0.99772,3.24,0.47,9,5
6.4,0.28,0.36,1.3,0.053,28,186,0.99211,3.31,0.45,10.8,5
6.4,0.22,0.32,7.9,0.029,34,124,0.9948,3.4,0.39,10.2,5
8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5
6.5,0.15,0.55,5.9,0.045,75,162,0.99482,2.97,0.4,9.3,5
9.5,0.21,0.47,1.3,0.039,21,123,0.9959,2.9,0.64,9.5,5
7.9,0.16,0.74,17.85,0.037,52,187,0.9998,2.99,0.41,9.3,5
7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5
6.2,0.3,0.32,1.2,0.052,32,185,0.99266,3.28,0.44,10.1,5
6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,5
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5
8.3,0.33,0.43,9.2,0.046,22,126,0.9982,3.38,0.47,9.3,5
6.3,0.25,0.44,11.6,0.041,48,195,0.9968,3.18,0.52,9.5,5
7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3,5
6.1,0.21,0.19,1.4,0.046,51,131,0.99184,3.22,0.39,10.5,5
7.4,0.35,0.31,17.95,0.062,42,187,1.0002,3.27,0.64,9.1,5
